Age,Gender,City,AdType,Budget,DurationSec,Impressions,CTR,Clicks,ConversionRate,Conversions,Performance
32,Male,Mumbai,Shorts,41617,41,1415675,2.98,42187,0.86,362,High
23,Female,Hyderabad,Image,52646,27,1632187,1.46,23829,0.94,223,High
47,Female,Delhi,Video,60159,42,1986232,4.79,95140,4.17,3967,High
55,Female,Kolkata,Shorts,53760,33,1949559,6.25,121847,3.1,3777,High
19,Male,Delhi,Shorts,66265,48,1900803,2.57,48850,3.06,1494,High
32,Male,Hyderabad,Carousel,44200,9,994088,0.3,2982,2.45,73,High
28,Male,Chennai,Image,60100,56,2331869,1.79,41740,2.89,1206,High
25,Female,Delhi,Shorts,23080,44,713319,5.49,39161,3.05,1194,High
43,Female,Bangalore,Shorts,70203,15,2267993,7.91,179398,4.84,8682,High
22,Male,Bangalore,Video,66847,18,2584864,0.21,5428,1.19,64,High
23,Female,Mumbai,Carousel,45433,53,1755176,2.52,44230,1.15,508,High
43,Female,Hyderabad,Shorts,56582,46,1779063,0.59,10496,0.38,39,High
21,Female,Hyderabad,Video,63365,6,1644488,2.6,42756,3.33,1423,High
36,Male,Delhi,Shorts,34433,39,1375360,3.31,45524,2.79,1270,High
37,Female,Chennai,Shorts,47832,49,1607940,7.37,118505,0.65,770,High
50,Male,Hyderabad,Shorts,30413,53,856716,0.74,6339,1.89,119,High
37,Male,Delhi,Video,67076,39,2092559,6.24,130575,0.98,1279,High
29,Male,Delhi,Image,62341,46,1765301,3.22,56842,1.72,977,High
18,Male,Kolkata,Shorts,45785,32,1729149,6.51,112567,4.76,5358,High
43,Male,Kolkata,Shorts,44046,12,1305972,4.16,54328,3.45,1874,High
31,Female,Hyderabad,Image,47765,36,1742040,0.41,7142,0.14,9,High
55,Male,Delhi,Shorts,36541,8,1344842,7.58,101939,1.34,1365,High
54,Male,Mumbai,Carousel,47389,49,1729081,0.75,12968,0.15,19,High
28,Male,Mumbai,Shorts,34434,11,1186038,4.82,57167,3.6,2058,High
53,Female,Kolkata,Carousel,63474,43,2354766,7.03,165540,2.4,3972,High
30,Female,Hyderabad,Image,67054,52,1860386,0.73,13580,4.97,674,High
20,Female,Chennai,Video,64177,31,1430734,4.48,64096,3.69,2365,High
50,Female,Mumbai,Image,32087,41,1182376,6.61,78155,2.64,2063,High
23,Male,Mumbai,Shorts,46873,21,1404480,7.89,110813,4.04,4476,High
27,Male,Kolkata,Carousel,58770,14,1325138,5.82,77123,3.55,2737,High
22,Female,Kolkata,Video,61531,8,1372534,2.3,31568,1.29,407,High
40,Female,Hyderabad,Shorts,22417,27,519735,5.63,29261,2.7,790,High
27,Female,Kolkata,Video,61107,18,2139946,5.68,121548,2.82,3427,High
19,Female,Bangalore,Video,31350,9,1072740,5.63,60395,2.31,1395,High
30,Male,Delhi,Shorts,47690,6,1148215,6.85,78652,0.98,770,High
57,Female,Mumbai,Image,68862,50,2543668,0.79,20094,1.19,239,High
19,Female,Bangalore,Shorts,66831,28,1712605,0.96,16441,1.48,243,High
37,Female,Chennai,Shorts,69891,22,2506305,5.16,129325,0.15,193,High
18,Female,Bangalore,Image,34005,31,1012565,7.64,77359,4.59,3550,High
54,Female,Hyderabad,Carousel,37710,28,1305956,3.78,49365,3.46,1708,High
26,Female,Chennai,Shorts,41557,33,1148153,7.69,88292,3.48,3072,High
34,Female,Chennai,Video,47803,15,1287957,7.51,96725,2.9,2805,High
26,Male,Kolkata,Shorts,53250,52,1961067,7.23,141785,3.48,4934,High
28,Male,Bangalore,Shorts,69158,22,1432005,7.29,104393,4.91,5125,High
32,Male,Hyderabad,Video,36070,52,1424607,7.2,102571,1.99,2041,High
41,Male,Mumbai,Image,40567,57,1337240,6.58,87990,3.59,3158,High
55,Male,Kolkata,Carousel,71354,8,2044286,5.59,114275,1.86,2125,High
52,Male,Bangalore,Carousel,32614,37,1061956,0.29,3079,4.29,132,High
47,Female,Mumbai,Video,60902,18,1367561,1.14,15590,4.3,670,High
48,Female,Bangalore,Image,48670,48,1473787,1.16,17095,4.52,772,High
22,Male,Kolkata,Shorts,55821,46,2216204,0.29,6426,0.13,8,High
31,Female,Mumbai,Shorts,37829,36,934590,1.02,9532,1.56,148,High
28,Male,Kolkata,Shorts,60607,55,2087664,7.37,153860,0.76,1169,High
26,Female,Bangalore,Shorts,40186,8,1153340,5.34,61588,2.32,1428,High
51,Female,Chennai,Shorts,28706,24,948709,2.57,24381,2.53,616,High
29,Female,Delhi,Video,57200,25,1378405,6.37,87804,1.35,1185,High
52,Female,Chennai,Shorts,12453,7,366253,3.96,14503,3.64,527,High
52,Female,Kolkata,Shorts,41479,29,1642683,1.22,20040,1.42,284,High
18,Female,Kolkata,Image,54367,8,1299685,7.09,92147,4.28,3943,High
57,Male,Kolkata,Shorts,61366,51,2008464,2.78,55835,0.97,541,High
39,Male,Mumbai,Carousel,68397,15,2155348,5.62,121130,1.9,2301,High
46,Female,Hyderabad,Video,76663,20,2399636,2.4,57591,3.15,1814,High
25,Male,Kolkata,Video,72076,40,2328239,4.05,94293,3.07,2894,High
28,Female,Chennai,Video,52873,10,1588563,6.55,104050,0.48,499,High
58,Male,Delhi,Carousel,66884,35,1360333,1.34,18228,4.25,774,High
54,Female,Kolkata,Shorts,52641,44,2000486,7.82,156438,3.03,4740,High
31,Male,Kolkata,Video,60288,17,2202919,0.65,14318,4.36,624,High
47,Female,Kolkata,Carousel,41009,27,963047,4.32,41603,4.35,1809,High
52,Male,Mumbai,Image,56931,56,1609184,7.34,118114,2.78,3283,High
38,Female,Kolkata,Shorts,42901,8,1519177,7.57,115001,4.56,5244,High
54,Male,Chennai,Carousel,47396,41,1876973,1.93,36225,4.26,1543,High
22,Female,Bangalore,Shorts,56978,46,2223454,1.24,27570,4.79,1320,High
36,Female,Hyderabad,Image,81370,41,3091043,5.82,179898,4.27,7681,High
31,Female,Kolkata,Carousel,55921,48,1295561,0.43,5570,4.12,229,High
43,Male,Mumbai,Shorts,49824,37,1907750,3.93,74974,2.4,1799,High
21,Male,Chennai,Carousel,37523,46,1409711,6.39,90080,1.14,1026,High
42,Male,Kolkata,Video,63443,33,1747157,4.53,79146,4.56,3609,High
59,Female,Mumbai,Shorts,44968,41,1254180,1.59,19941,3.64,725,High
42,Male,Bangalore,Carousel,55612,23,1623777,3.95,64139,1.48,949,High
35,Female,Delhi,Video,60529,55,2004937,7.38,147964,1.77,2618,High
57,Male,Kolkata,Image,68961,24,1738985,4.98,86601,3.46,2996,High
25,Male,Chennai,Shorts,62635,36,1281459,5.8,74324,2.44,1813,High
56,Male,Mumbai,Shorts,31648,48,722355,2.76,19936,0.5,99,High
57,Male,Mumbai,Image,24242,59,698226,1.59,11101,0.79,87,High
31,Female,Kolkata,Video,60522,20,1551789,2.12,32897,3.75,1233,High
49,Male,Mumbai,Image,51290,9,1810043,4.31,78012,1.71,1334,High
55,Male,Delhi,Shorts,55872,53,1236660,2.31,28566,2.59,739,High
50,Female,Mumbai,Carousel,75796,50,2906737,4.38,127315,3.86,4914,High
40,Female,Hyderabad,Video,40751,16,1544736,5.69,87895,3.78,3322,High
32,Male,Hyderabad,Video,69371,49,2648252,5.9,156246,0.92,1437,High
50,Male,Mumbai,Video,40900,25,1423002,1.4,19922,0.58,115,High
42,Female,Kolkata,Image,73479,18,1626825,6.03,98097,3.0,2942,High
34,Female,Hyderabad,Image,61257,41,1761942,5.41,95321,3.73,3555,High
50,Female,Chennai,Carousel,27393,26,619853,0.19,1177,0.83,9,High
19,Male,Hyderabad,Carousel,43740,34,1738871,0.57,9911,1.92,190,High
31,Male,Mumbai,Video,78735,27,2099136,5.21,109364,4.36,4768,High
57,Male,Kolkata,Carousel,76852,9,2436744,3.13,76270,4.73,3607,High
57,Female,Bangalore,Image,59063,33,2101937,1.25,26274,2.32,609,High
56,Female,Kolkata,Carousel,55313,34,2124720,0.45,9561,0.49,46,High
23,Female,Kolkata,Image,53596,22,1881807,1.36,25592,1.36,348,High
23,Male,Kolkata,Carousel,56555,50,1894045,7.66,145083,1.24,1799,High
20,Female,Chennai,Shorts,47887,54,1404058,5.85,82137,1.27,1043,High
24,Male,Delhi,Image,68165,56,2188651,4.27,93455,2.52,2355,High
25,Female,Mumbai,Shorts,58667,5,1283842,7.54,96801,2.96,2865,High
59,Male,Delhi,Image,35519,43,1338326,4.99,66782,0.7,467,High
32,Male,Bangalore,Carousel,59824,21,1847125,5.83,107687,4.46,4802,High
46,Female,Delhi,Shorts,52474,7,1091616,2.33,25434,3.14,798,High
50,Male,Mumbai,Carousel,45313,46,1739933,4.75,82646,3.03,2504,High
47,Female,Mumbai,Image,78477,11,2337545,1.23,28751,4.94,1420,High
56,Male,Bangalore,Shorts,51556,31,1926760,3.3,63583,3.18,2021,High
44,Female,Mumbai,Video,20647,32,766798,0.36,2760,4.65,128,High
53,Female,Bangalore,Carousel,46379,48,1684288,1.81,30485,1.5,457,High
46,Male,Bangalore,Image,64902,58,1377750,0.69,9506,1.28,121,High
55,Female,Mumbai,Shorts,36102,35,900453,3.16,28454,2.63,748,High
50,Male,Hyderabad,Carousel,64392,19,2415427,6.76,163282,2.59,4229,High
54,Female,Bangalore,Shorts,35034,59,1330610,3.09,41115,1.21,497,High
44,Female,Mumbai,Carousel,70050,57,2042757,6.67,136251,3.53,4809,High
50,Female,Hyderabad,Carousel,41411,52,1192685,5.29,63093,0.25,157,High
21,Female,Bangalore,Carousel,44723,12,1051119,4.13,43411,3.48,1510,High
39,Male,Hyderabad,Shorts,43611,10,1716892,1.97,33822,2.34,791,High
19,Female,Chennai,Shorts,58961,32,1430576,7.39,105719,3.48,3679,High
27,Female,Kolkata,Carousel,77661,8,1849805,0.53,9803,2.44,239,High
22,Male,Chennai,Video,50222,34,1668119,5.54,92413,4.89,4518,High
27,Male,Hyderabad,Video,49836,47,1238778,5.01,62062,1.74,1079,High
50,Male,Bangalore,Video,41400,21,1605340,3.58,57471,4.91,2821,High
55,Male,Mumbai,Image,25589,38,517378,2.0,10347,0.42,43,High
30,Male,Delhi,Video,42897,10,862879,3.5,30200,3.45,1041,High
48,Male,Mumbai,Shorts,31114,40,936483,6.99,65460,2.33,1525,High
53,Female,Delhi,Video,21690,39,645529,6.71,43314,4.13,1788,High
41,Male,Delhi,Shorts,48845,43,1136491,7.54,85691,3.97,3401,High
32,Female,Bangalore,Image,41861,43,1251243,2.53,31656,4.02,1272,High
46,Male,Hyderabad,Shorts,70648,20,1994637,3.16,63030,0.56,352,High
25,Female,Mumbai,Shorts,37165,6,1405118,0.25,3512,4.13,145,High
22,Female,Hyderabad,Shorts,60055,12,1212225,7.55,91522,1.15,1052,High
46,Female,Chennai,Video,59762,19,2362130,2.7,63777,0.23,146,High
21,Male,Bangalore,Carousel,70056,31,2276001,3.29,74880,1.17,876,High
29,Male,Bangalore,Shorts,47236,20,1088183,7.27,79110,2.45,1938,High
19,Male,Chennai,Video,69785,5,1460976,4.26,62237,3.74,2327,High
44,Male,Mumbai,Video,58414,14,1796944,4.57,82120,1.17,960,High
48,Female,Kolkata,Video,67089,11,1656957,1.49,24688,0.65,160,High
53,Male,Chennai,Carousel,85912,52,2235723,4.04,90323,3.27,2953,High
53,Female,Mumbai,Carousel,48151,14,1199103,7.35,88134,4.92,4336,High
43,Female,Delhi,Carousel,52562,16,1734731,4.51,78236,3.04,2378,High
44,Male,Bangalore,Carousel,44572,21,1384901,2.12,29359,3.49,1024,High
22,Male,Mumbai,Image,73134,49,1576745,0.35,5518,2.85,157,High
37,Male,Hyderabad,Carousel,89069,16,2719348,2.76,75054,3.93,2949,High
28,Female,Hyderabad,Carousel,61012,19,2185698,4.62,100979,4.88,4927,High
27,Male,Bangalore,Carousel,25848,50,558951,0.44,2459,2.77,68,High
57,Female,Chennai,Shorts,36753,55,1389084,4.92,68342,2.14,1462,High
55,Male,Kolkata,Shorts,67393,36,2127363,4.23,89987,4.32,3887,High
23,Female,Chennai,Carousel,32834,36,1280961,6.29,80572,4.85,3907,High
25,Male,Mumbai,Image,40992,55,941292,0.33,3106,0.73,22,High
40,Male,Chennai,Shorts,40465,30,1613427,6.27,101161,2.93,2964,High
43,Female,Bangalore,Video,48842,18,1606215,4.21,67621,3.98,2691,High
29,Male,Mumbai,Shorts,53850,54,1688211,3.03,51152,2.71,1386,High
43,Male,Delhi,Video,21658,30,656374,7.73,50737,2.11,1070,High
30,Male,Chennai,Shorts,27088,9,554583,1.36,7542,3.31,249,High
57,Male,Chennai,Carousel,27446,56,1064722,4.38,46634,1.42,662,High
35,Male,Kolkata,Shorts,29239,42,961394,2.64,25380,1.81,459,High
42,Male,Mumbai,Carousel,50240,54,1096868,4.27,46836,4.96,2323,High
50,Male,Hyderabad,Carousel,52918,50,1080548,4.46,48192,3.22,1551,High
57,Female,Chennai,Shorts,65197,8,1370174,0.81,11098,4.38,486,High
29,Female,Bangalore,Video,58323,32,1877326,5.32,99873,4.06,4054,High
53,Male,Chennai,Video,41266,59,1332083,5.11,68069,3.3,2246,High
21,Male,Kolkata,Shorts,53448,5,1603112,6.18,99072,4.22,4180,High
22,Male,Delhi,Carousel,65813,17,1720054,0.82,14104,1.51,212,High
54,Female,Kolkata,Video,46589,47,1427255,2.45,34967,3.22,1125,High
25,Female,Chennai,Image,45343,7,1375095,5.24,72054,2.99,2154,High
59,Male,Hyderabad,Carousel,35825,53,730424,1.18,8619,3.15,271,High
45,Female,Chennai,Shorts,37927,54,972819,5.45,53018,0.93,493,High
48,Male,Mumbai,Carousel,60283,29,1269796,0.57,7237,1.46,105,High
26,Male,Chennai,Image,49942,46,1897974,2.75,52194,1.5,782,High
46,Male,Hyderabad,Image,79375,20,2738821,6.79,185965,3.05,5671,High
31,Male,Mumbai,Video,39849,25,1590879,6.22,98952,4.87,4818,High
57,Female,Bangalore,Image,61420,17,1599602,5.19,83019,4.77,3960,High
58,Female,Mumbai,Carousel,55796,56,2096245,6.98,146317,1.21,1770,High
39,Male,Kolkata,Video,48659,48,1560072,5.7,88924,1.59,1413,High
28,Female,Delhi,Image,43467,40,1263273,4.2,53057,0.28,148,High
40,Female,Kolkata,Video,59001,12,1442673,7.84,113105,2.05,2318,High
18,Male,Mumbai,Video,58140,48,2021406,5.59,112996,4.19,4734,High
54,Female,Bangalore,Shorts,53029,23,2019525,4.85,97946,4.59,4495,High
38,Male,Chennai,Video,56384,51,1393045,3.33,46388,1.26,584,High
43,Male,Mumbai,Video,50547,20,1188256,7.23,85910,1.4,1202,High
53,Male,Kolkata,Image,25382,16,861079,2.44,21010,1.18,247,High
40,Male,Mumbai,Carousel,51265,24,2027014,0.17,3445,1.82,62,High
18,Female,Mumbai,Carousel,45971,22,1608969,1.65,26547,4.04,1072,High
57,Male,Mumbai,Image,79193,58,2034612,0.97,19735,3.27,645,High
32,Female,Bangalore,Carousel,59500,16,1689769,2.62,44271,3.95,1748,High
38,Male,Hyderabad,Video,53022,52,1468003,6.62,97181,2.96,2876,High
26,Male,Hyderabad,Shorts,56942,29,2109256,5.25,110735,1.36,1505,High
26,Female,Mumbai,Video,34653,56,1227674,1.43,17555,1.22,214,High
27,Male,Bangalore,Video,40853,15,1298303,6.33,82182,0.14,115,High
43,Female,Bangalore,Shorts,44978,26,1146906,4.08,46793,3.93,1838,High
58,Female,Mumbai,Image,55826,56,2163816,4.15,89798,4.25,3816,High
52,Male,Kolkata,Video,43478,50,1437680,2.96,42555,3.86,1642,High
42,Male,Kolkata,Video,42478,38,1674054,6.93,116011,0.46,533,High
43,Male,Delhi,Image,33982,17,1073912,2.61,28029,3.83,1073,High
28,Male,Mumbai,Video,50376,50,1834917,0.84,15413,0.32,49,High
55,Male,Delhi,Video,52483,42,1903162,2.49,47388,0.62,293,High
19,Male,Kolkata,Carousel,56427,16,1509251,5.75,86781,2.26,1961,High
24,Female,Kolkata,Image,39559,43,1553923,5.29,82202,2.43,1997,High
35,Female,Mumbai,Video,55561,40,1135614,1.59,18056,4.1,740,High
44,Male,Delhi,Video,34395,32,1216727,0.98,11923,3.43,408,High
51,Female,Delhi,Shorts,46714,31,1836382,5.32,97695,0.85,830,High
44,Female,Mumbai,Shorts,54523,43,1460041,5.44,79426,1.21,961,High
34,Male,Delhi,Shorts,46119,17,1520194,2.99,45453,1.5,681,High
41,Male,Chennai,Video,26572,47,830238,6.76,56124,0.71,398,High
42,Female,Kolkata,Video,28360,44,999144,7.83,78232,1.51,1181,High
24,Male,Hyderabad,Shorts,53313,31,1989846,1.72,34225,3.67,1256,High
23,Female,Bangalore,Carousel,58694,55,1881806,4.66,87692,1.28,1122,High
41,Male,Delhi,Carousel,55089,35,2000754,0.14,2801,4.19,117,High
50,Female,Delhi,Carousel,59056,6,1549970,5.73,88813,2.4,2131,High
46,Female,Bangalore,Carousel,45791,57,1125185,3.37,37918,1.68,637,High
39,Female,Delhi,Image,61076,22,1747607,1.63,28485,2.12,603,High
43,Female,Bangalore,Shorts,55040,30,1846882,6.04,111551,3.58,3993,High
45,Male,Mumbai,Video,40408,57,959489,6.5,62366,2.63,1640,High
38,Male,Chennai,Shorts,57716,46,1939691,0.98,19008,0.14,26,High
24,Female,Chennai,Carousel,54440,35,1517910,0.42,6375,4.62,294,High
34,Female,Kolkata,Video,75087,42,2696501,2.74,73884,0.42,310,High
37,Male,Hyderabad,Image,70689,26,1465874,5.05,74026,4.7,3479,High
58,Male,Delhi,Shorts,48615,40,1621794,6.37,103308,0.24,247,High
37,Female,Hyderabad,Video,43734,23,1443092,4.41,63640,3.88,2469,High
39,Female,Mumbai,Video,73386,18,2848775,4.69,133607,2.72,3634,High
45,Female,Chennai,Carousel,58273,18,1996864,6.42,128198,2.58,3307,High
57,Female,Mumbai,Carousel,47387,54,1702455,4.28,72865,0.46,335,High
24,Female,Mumbai,Shorts,20164,33,768086,4.93,37866,1.27,480,High
18,Male,Delhi,Image,38667,21,1295401,4.18,54147,3.91,2117,High
49,Female,Mumbai,Video,37624,54,970829,7.06,68540,4.47,3063,High
30,Male,Chennai,Carousel,47804,54,1787664,1.96,35038,2.69,942,High
47,Male,Hyderabad,Shorts,59277,41,2071850,2.19,45373,1.83,830,High
40,Male,Chennai,Carousel,61568,13,1754018,1.11,19469,0.39,75,High
36,Female,Delhi,Shorts,72500,5,2480285,6.57,162954,3.44,5605,High
49,Male,Chennai,Carousel,63970,8,2389556,3.35,80050,1.46,1168,High
47,Male,Bangalore,Image,30492,11,1204870,2.85,34338,0.37,127,High
46,Male,Hyderabad,Video,65450,15,2555632,7.85,200617,3.36,6740,High
46,Male,Bangalore,Carousel,75999,18,2014494,7.42,149475,2.48,3706,High
47,Female,Bangalore,Video,75257,46,2139851,7.78,166480,0.16,266,High
33,Female,Kolkata,Shorts,31807,23,705821,1.22,8611,0.64,55,High
57,Male,Delhi,Image,47133,44,1176023,7.14,83968,3.53,2964,High
36,Male,Mumbai,Video,64414,7,2425108,2.7,65477,0.41,268,High
35,Female,Bangalore,Carousel,32624,12,887950,0.2,1775,4.34,77,High
18,Female,Chennai,Video,24126,33,781957,3.19,24944,1.63,406,High
31,Female,Mumbai,Video,54709,54,1822877,4.12,75102,0.53,398,High
19,Male,Chennai,Shorts,39866,41,1420692,0.95,13496,3.82,515,High
45,Female,Chennai,Image,25528,56,603895,4.35,26269,2.67,701,High
47,Male,Mumbai,Image,68442,47,1786101,6.57,117346,1.6,1877,High
55,Male,Mumbai,Video,52464,13,1519730,3.08,46807,2.09,978,High
21,Female,Chennai,Video,42189,23,1151642,2.89,33282,0.2,66,High
18,Male,Delhi,Shorts,35544,16,1409636,2.78,39187,3.35,1312,High
25,Female,Hyderabad,Video,52618,31,1931036,7.39,142703,1.89,2697,High
46,Male,Kolkata,Shorts,57731,41,1708483,0.49,8371,3.6,301,High
56,Female,Hyderabad,Image,54888,52,2063023,3.62,74681,3.18,2374,High
20,Male,Delhi,Image,27216,29,733562,2.19,16065,3.29,528,High
49,Male,Kolkata,Shorts,57152,49,2041301,7.16,146157,3.99,5831,High
27,Female,Mumbai,Video,60416,42,1478609,0.86,12716,3.19,405,High
27,Female,Kolkata,Image,44848,52,1589735,3.35,53256,2.15,1145,High
36,Female,Chennai,Carousel,65594,54,1910696,3.31,63244,2.01,1271,High
51,Female,Hyderabad,Shorts,37221,21,824449,7.12,58700,0.69,405,High
50,Male,Kolkata,Image,69358,48,1766238,1.8,31792,3.92,1246,High
40,Female,Chennai,Image,51984,37,1457937,5.19,75666,3.83,2898,High
45,Female,Delhi,Image,42557,43,1488909,1.16,17271,1.31,226,High
49,Male,Kolkata,Carousel,45223,18,970475,7.64,74144,4.33,3210,High
24,Female,Chennai,Carousel,64989,32,2157055,4.78,103107,2.99,3082,High
46,Female,Delhi,Carousel,53558,22,1838146,5.05,92826,2.45,2274,High
25,Male,Mumbai,Video,59676,59,1973988,3.53,69681,0.19,132,High
18,Female,Delhi,Shorts,66120,37,2328310,2.8,65192,1.98,1290,High
20,Female,Delhi,Video,42110,56,992261,1.78,17662,3.24,572,High
41,Female,Hyderabad,Carousel,51909,46,1647714,4.87,80243,0.54,433,High
40,Female,Chennai,Shorts,46633,19,1810434,7.64,138317,2.35,3250,High
25,Female,Kolkata,Video,65255,15,2102262,2.94,61806,4.97,3071,High
54,Female,Hyderabad,Video,44263,40,1426457,7.08,100993,3.61,3645,High
20,Male,Bangalore,Video,50717,19,1761356,1.28,22545,2.78,626,High
50,Female,Delhi,Carousel,84435,57,2251405,7.5,168855,2.71,4575,High
45,Male,Bangalore,Image,69276,52,2356068,2.87,67619,0.31,209,High
25,Male,Hyderabad,Shorts,34471,34,1321112,3.1,40954,4.79,1961,High
51,Male,Chennai,Carousel,63529,19,1284436,3.76,48294,4.65,2245,High
52,Male,Hyderabad,Shorts,60331,53,2256535,5.77,130202,3.44,4478,High
49,Female,Chennai,Carousel,33490,27,816241,5.79,47260,0.59,278,High
41,Female,Chennai,Video,48349,47,1407853,3.89,54765,1.12,613,High
31,Female,Mumbai,Video,35784,54,1325705,4.23,56077,1.0,560,High
49,Male,Delhi,Image,14110,52,514743,0.34,1750,2.65,46,High
33,Female,Hyderabad,Image,47810,19,1809077,2.5,45226,1.12,506,High
21,Female,Chennai,Shorts,42408,33,1645809,2.83,46576,3.51,1634,High
54,Female,Hyderabad,Image,33486,15,969203,4.51,43711,2.77,1210,High
38,Male,Hyderabad,Image,49856,49,1651600,4.51,74487,0.19,141,High
31,Male,Chennai,Shorts,18190,22,505878,5.71,28885,3.75,1083,High
48,Female,Kolkata,Carousel,50619,44,1367441,5.76,78764,1.03,811,High
35,Male,Bangalore,Image,50230,35,1438208,1.96,28188,4.14,1166,High
24,Male,Delhi,Carousel,60181,13,2098004,6.18,129656,1.84,2385,High
27,Female,Delhi,Video,25952,26,779317,0.25,1948,1.76,34,High
24,Male,Kolkata,Image,82091,15,2978372,5.76,171554,0.16,274,High
50,Male,Mumbai,Video,76337,21,2664496,0.91,24246,4.94,1197,High
40,Female,Kolkata,Video,38401,37,783763,5.86,45928,3.1,1423,High
38,Male,Mumbai,Carousel,71896,15,2344154,4.26,99860,2.17,2166,High
36,Male,Mumbai,Shorts,62856,43,1805944,3.55,64111,0.57,365,High
36,Male,Kolkata,Image,43408,12,1264605,5.56,70312,3.53,2482,High
53,Male,Delhi,Carousel,40897,55,1487327,0.39,5800,1.49,86,High
46,Male,Bangalore,Shorts,42031,8,1300969,1.87,24328,4.94,1201,High
35,Male,Delhi,Video,92395,40,3484460,4.97,173177,4.76,8243,High
19,Male,Delhi,Image,70401,23,2411691,6.79,163753,3.7,6058,High
18,Male,Delhi,Video,46958,28,1458377,3.11,45355,4.86,2204,High
22,Female,Kolkata,Video,48253,45,1693257,2.14,36235,0.62,224,High
37,Female,Kolkata,Image,62711,53,1302333,4.2,54697,1.47,804,High
28,Female,Kolkata,Shorts,62054,22,1274706,5.02,63990,1.34,857,High
59,Female,Delhi,Shorts,35646,37,772359,3.42,26414,0.45,118,High
19,Male,Bangalore,Image,54463,50,1565884,7.03,110081,4.86,5349,High
20,Female,Mumbai,Image,41711,40,1030658,4.24,43699,0.39,170,High
40,Female,Hyderabad,Carousel,52282,14,2074862,0.38,7884,4.3,339,High
29,Male,Mumbai,Carousel,49279,59,1520075,1.86,28273,3.86,1091,High
37,Male,Mumbai,Video,65264,18,2169940,3.66,79419,1.94,1540,High
22,Male,Hyderabad,Image,45975,11,1175896,5.61,65967,0.19,125,High
54,Male,Delhi,Shorts,51774,16,1368714,1.84,25184,0.13,32,High
55,Male,Bangalore,Video,21828,26,583025,7.81,45534,1.1,500,High
47,Female,Bangalore,Video,54854,31,1863675,2.62,48828,2.52,1230,High
26,Male,Mumbai,Video,38322,52,1129512,4.31,48681,2.34,1139,High
51,Female,Hyderabad,Video,27242,41,826924,0.25,2067,2.97,61,High
52,Female,Chennai,Shorts,66936,15,2131268,7.09,151106,3.88,5862,High
39,Male,Delhi,Video,49373,40,1746647,6.33,110562,1.95,2155,High
41,Female,Mumbai,Image,18842,17,410908,1.64,6738,0.89,59,High
34,Female,Bangalore,Carousel,38245,36,1359153,7.47,101528,4.02,4081,High
27,Male,Kolkata,Shorts,50075,12,1565580,2.6,40705,1.73,704,High
47,Female,Kolkata,Image,50521,11,1686495,5.57,93937,1.51,1418,High
40,Female,Hyderabad,Image,42508,47,1128655,6.57,74152,3.85,2854,High
49,Female,Hyderabad,Image,5000,47,140938,5.95,8385,4.68,392,High
34,Male,Mumbai,Carousel,41721,21,1027317,7.35,75507,4.58,3458,High
34,Male,Chennai,Carousel,66065,26,2615268,6.93,181238,0.77,1395,High
31,Male,Bangalore,Carousel,71035,50,2126819,7.96,169294,2.57,4350,High
26,Female,Mumbai,Image,40887,38,1632297,1.54,25137,0.56,140,High
57,Male,Chennai,Carousel,78250,24,2331515,2.51,58521,4.81,2814,High
19,Female,Hyderabad,Video,25744,57,628045,5.13,32218,1.15,370,High
42,Male,Kolkata,Carousel,37849,12,1141127,5.89,67212,1.07,719,High
56,Female,Delhi,Shorts,63372,26,1317634,4.32,56921,4.46,2538,High
26,Male,Kolkata,Image,61010,31,2324231,0.68,15804,4.84,764,High
39,Male,Bangalore,Image,49855,38,1813302,6.75,122397,3.52,4308,High
21,Female,Bangalore,Video,33213,25,1146397,7.69,88157,0.69,608,High
43,Male,Kolkata,Carousel,33173,19,1068056,3.3,35245,2.48,874,High
46,Female,Kolkata,Carousel,39114,9,1235896,1.88,23234,4.1,952,High
51,Male,Chennai,Shorts,33824,42,1350781,0.25,3376,2.91,98,High
40,Male,Mumbai,Video,51960,21,1328108,1.97,26163,0.75,196,High
54,Female,Hyderabad,Shorts,48615,12,1730422,5.63,97422,0.94,915,High
28,Female,Chennai,Shorts,32579,23,1030429,7.3,75221,4.33,3257,High
23,Female,Delhi,Image,44676,9,1765518,0.84,14830,2.68,397,High
35,Male,Kolkata,Image,10258,27,375008,4.47,16762,3.56,596,High
38,Female,Delhi,Carousel,55088,23,2201907,5.59,123086,1.93,2375,High
59,Male,Delhi,Carousel,60750,18,1929842,2.28,44000,2.71,1192,High
53,Female,Chennai,Shorts,36322,14,875049,4.6,40252,4.89,1968,High
58,Female,Hyderabad,Carousel,38204,35,1148948,5.75,66064,1.72,1136,High
55,Female,Bangalore,Shorts,53868,17,1843494,6.72,123882,3.41,4224,High
51,Female,Mumbai,Carousel,51593,26,1830926,3.67,67194,0.95,638,High
34,Female,Bangalore,Carousel,61596,41,1232563,6.01,74077,0.7,518,High
54,Female,Hyderabad,Image,38349,43,1154349,2.48,28627,3.94,1127,High
42,Male,Bangalore,Image,40091,14,990451,1.78,17630,4.24,747,High
55,Female,Kolkata,Image,46689,35,1750774,1.58,27662,3.37,932,High
29,Male,Kolkata,Image,34008,47,784164,2.94,23054,0.88,202,High
40,Female,Chennai,Video,46362,39,1545232,0.38,5871,1.28,75,High
